Symbol,ISIN,Company
EMAMIREAL,INE778K01012,Emami Realty Limited
BLISSGVS,INE416D01022,Bliss GVS Pharma Limited
IMFA,INE919H01018,Indian Metals & Ferro Alloys Limited
HMVL,INE871K01015,Hindustan Media Ventures Limited
TECHNOFAB,INE509K01011,Technofab Engineering Limited
TI,INE133E01013,Tilaknagar Industries Limited
UMESLTD,INE240C01028,Usha Martin Education & Solutions Limited
PARABDRUGS,INE618H01016,Parabolic Drugs Limited
KIRLOSIND,INE250A01039,Kirloskar Industries Limited
PIONDIST,INE889E01010,Pioneer Distilleries Limited
RAINBOWPAP,INE028D01025,Rainbow Papers Limited
SUNDARAM,INE108E01023,Sundaram Multi Pap Limited
JPINFRATEC,INE099J01015,Jaypee Infratech Limited
SJVN,INE002L01015,SJVN Limited
KSL,INE907A01026,Kalyani Steels Limited
TARAPUR,INE747K01017,Tarapur Transformers Limited
NITESHEST,INE639K01016,Nitesh Estates Limited
TALWALKARS,INE502K01016,Talwalkars Better Value Fitness Limited
KIRLOSBROS,INE732A01036,Kirloskar Brothers Limited
ISFT,INE566K01011,Intrasoft Technologies Limited
ASIANHOTNR,INE363A01022,Asian Hotels (North) Limited
PERSISTENT,INE262H01013,Persistent Systems Limited
WHIRLPOOL,INE716A01013,Whirlpool of India Limited
PRADIP,INE495J01015,Pradip Overseas Limited
LGBBROSLTD,INE337A01034,LG Balakrishnan & Bros Limited
IL&FSTRANS,INE975G01012,IL&FS Transportation Networks Limited
TRF,INE391D01019,TRF Limited
UNITEDBNK,INE695A01019,United Bank of India
MANINFRA,INE949H01023,Man Infraconstruction Limited
TEXMOPIPES,INE141K01013,Texmo Pipes and Products Limited
KECL,INE134B01017,Kirloskar Electric Company Limited
SMPL,INE215G01021,Splendid Metal Products Limited
DEEPIND,INE677H01012,Deep Industries Limited
ARSSINFRA,INE267I01010,ARSS Infrastructure Projects Limited
ORIENTLTD,INE609C01024,Orient Press Limited
HATHWAY,INE982F01036,Hathway Cable & Datacom Limited
EMMBI,INE753K01015,Emmbi Industries Limited
DBREALTY,INE879I01012,D B Realty Limited
THANGAMAYL,INE085J01014,Thangamayil Jewellery Limited
VASCONEQ,INE893I01013,Vascon Engineers Limited
SYNCOM,INE602K01014,Syncom Healthcare Limited
JUBLFOOD,INE797F01012,Jubilant Foodworks Limited
MBLINFRA,INE912H01013,MBL Infrastructures Limited
BAYERCROP,INE462A01022,Bayer Cropscience Limited
NESTLEIND,INE239A01016,Nestle India Limited
ABBOTINDIA,INE358A01014,Abbott India Limited
DBCORP,INE950I01011,D.B.Corp Limited
GODREJPROP,INE484J01027,Godrej Properties Limited
JSWENERGY,INE121E01018,JSW Energy Limited
DLINKINDIA,INE250K01012,D-Link (India) Limited
AHLUCONT,INE758C01029,Ahluwalia Contracts (India) Limited
ARSHIYA,INE968D01022,Arshiya Limited
GILLANDERS,INE047B01011,Gillanders Arbuthnot & Company Limited
COX&KINGS,INE008I01026,Cox & Kings Limited
SHILPAMED,INE790G01031,Shilpa Medicare Limited
REFEX,INE056I01017,Refex Industries Limited
SARDAEN,INE385C01013,Sarda Energy & Minerals Limited
ASTEC,INE563J01010,Astec LifeSciences Limited
DEN,INE947J01015,Den Networks Limited
SUNTECK,INE805D01034,Sunteck Realty Limited
ZYDUSWELL,INE768C01010,Zydus Wellness Limited
RTNPOWER,INE399K01017,RattanIndia Power Limited
SQSBFSI,INE201K01015,SQS India BFSI Limited
EUROMULTI,INE063J01011,Euro Multivision Limited
RNAVAL,INE542F01012,Reliance Naval and Engineering Limited
OIL,INE274J01014,Oil India Limited
GLOBUSSPR,INE615I01010,Globus Spirits Limited
JINDCOT,INE904J01016,Jindal Cotex Limited
NHPC,INE848E01016,NHPC Limited
ADANIPOWER,INE814H01011,Adani Power Limited
EXCEL,INE688J01015,Excel Realty N Infra Limited
VINATIORGA,INE410B01029,Vinati Organics Limited
GKWLIMITED,INE528A01020,GKW Limited
MHRIL,INE998I01010,Mahindra Holidays & Resorts India Limited
AJMERA,INE298G01027,Ajmera Realty & Infra India Limited
ARROWTEX,INE933J01015,Arrow Textiles Limited
HINDNATGLS,INE952A01022,Hindusthan National Glass & Industries Limited
HARITASEAT,INE939D01015,Harita Seating Systems Limited
MAWANASUG,INE636A01039,Mawana Sugars Limited
FELDVR,IN9623B01058,Future Enterprises Limited
GISOLUTION,INE065J01016,GI Engineering Solutions Limited
COUNCODOS,INE695B01025,Country Condo's Limited
JIKIND,INE026B01049,JIK Industries Limited
ALKALI,INE773I01017,Alkali Metals Limited
TATAMTRDVR,IN9155A01020,Tata Motors Limited
NEULANDLAB,INE794A01010,Neuland Laboratories Limited
JOCIL,INE839G01010,Jocil Limited
INDBANK,INE841B01017,Indbank Merchant Banking Services Limited
20MICRONS,INE144J01027,20 Microns Limited
WABCOINDIA,INE342J01019,WABCO India Limited
NUTEK,INE318J01027,Nu Tek India Limited
SICAGEN,INE176J01011,Sicagen India Limited
LPDC,INE197J01017,Landmark Property Development Company Limited
OISL,INE196J01019,OCL Iron and Steel Limited
KOKUYOCMLN,INE760A01029,Kokuyo Camlin Limited
UBL,INE686F01025,United Breweries Limited
VINYLINDIA,INE250B01029,Vinyl Chemicals (India) Limited
KSK,INE143H01015,KSK Energy Ventures Limited
LOTUSEYE,INE947I01017,Lotus Eye Hospital and Institute Limited
ARCHIDPLY,INE877I01016,Archidply Industries Limited
MVL,INE744I01034,MVL Limited
GET&D,INE200A01026,GE T&D India Limited
METKORE,INE592I01029,Metkore Alloys & Industries Limited
RANEENGINE,INE222J01013,Rane Engine Valve Limited
RBL,INE244J01017,Rane Brake Lining Limited
ALMONDZ,INE326B01027,Almondz Global Securities Limited
RPGLIFE,INE105J01010,RPG Life Sciences Limited
GOKUL,INE020J01029,Gokul Refoils and Solvent Limited
PIRPHYTO,INE122J01015,Piramal Phytocare Limited
SPICEMOBI,INE927C01020,Spice Mobility Limited
BAJAJFINSV,INE918I01018,Bajaj Finserv Limited
BAJAJ-AUTO,INE917I01010,Bajaj Auto Limited
ANIKINDS,INE087B01017,Anik Industries Limited
VIJSHAN,INE806F01011,Vijay Shanthi Builders Limited
KIRIINDUS,INE415I01015,Kiri Industries Limited
TWL,INE615H01020,Titagarh Wagons Limited
DPSCLTD,INE360C01024,DPSC Limited
EIHAHOTELS,INE276C01014,EIH Associated Hotels Limited
NESCO,INE317F01035,Nesco Limited
SITASHREE,INE686I01011,Sita Shree Food Products Limited
GAMMNINFRA,INE181G01025,Gammon Infrastructure Projects Limited
IBVENTURES,INE274G01010,Indiabulls Ventures Limited
BALLARPUR,INE294A01037,Ballarpur Industries Limited
VGUARD,INE951I01027,V-Guard Industries Limited
RECLTD,INE020B01018,REC Limited
NAHARCAP,INE049I01012,Nahar Capital and Financial Services Limited
GSS,INE871H01011,GSS Infotech Limited
NMDC,INE584A01023,NMDC Limited
SHALPAINTS,INE849C01026,Shalimar Paints Limited
RAIN,INE855B01025,Rain Industries Limited
IRB,INE821I01014,IRB Infrastructure Developers Limited
BANG,INE863I01016,Bang Overseas Limited
SHRIRAMEPC,INE964H01014,Shriram EPC Limited
SUJANAUNI,INE216G01011,Sujana Universal Industries Limited
TANTIACONS,INE388G01018,Tantia Constructions Limited
ONMOBILE,INE809I01019,OnMobile Global Limited
HERCULES,INE688E01024,Hercules Hoists Limited
KNRCON,INE634I01029,KNR Constructions Limited
CORDSCABLE,INE792I01017,Cords Cable Industries Limited
JKIL,INE576I01022,J.Kumar Infraprojects Limited
RPOWER,INE614G01033,Reliance Power Limited
BIRLAMONEY,INE865C01022,Aditya Birla Money Limited
CEATLTD,INE482A01020,CEAT Limited
AMBIKCO,INE540G01014,Ambika Cotton Mills Limited
KAVVERITEL,INE641C01019,Kavveri Telecom Products Limited
PPAP,INE095I01015,PPAP Automotive Limited
PATINTLOG,INE529D01014,Patel Integrated Logistics Limited
DVL,INE477B01010,Dhunseri Ventures Limited
ARIES,INE298I01015,Aries Agro Limited
MANAKSIA,INE015D01022,Manaksia Limited
BURNPUR,INE817H01014,Burnpur Cement Limited
BGRENERGY,INE661I01014,BGR Energy Systems Limited
ECLERX,INE738I01010,eClerx Services Limited
BRIGADE,INE791I01019,Brigade Enterprises Limited
TRIL,INE763I01026,Transformers And Rectifiers (India) Limited
HITECHCORP,INE120D01012,Hitech Corporation Limited
KALYANIFRG,INE314G01014,Kalyani Forge Limited
MADHAV,INE925C01016,Madhav Marbles and Granites Limited
JYOTHYLAB,INE668F01031,Jyothy Laboratories Limited
COLPAL,INE259A01022,Colgate Palmolive (India) Limited
KAUSHALYA,INE234I01010,Kaushalya Infrastructure Development Corporation Limited
KOLTEPATIL,INE094I01018,Kolte - Patil Developers Limited
EDELWEISS,INE532F01054,Edelweiss Financial Services Limited
RJL,INE722H01016,Renaissance Jewellery Limited
ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Limited
RMCL,INE172H01014,Radha Madhav Corporation Limited
JMCPROJECT,INE890A01024,JMC Projects (India)  Limited
ALKYLAMINE,INE150B01021,Alkyl Amines Chemicals Limited
EDL,INE180G01019,Empee Distilleries Limited
BVCL,INE139I01011,Barak Valley Cements Limited
RELIGARE,INE621H01010,Religare Enterprises Limited
SABTN,INE416A01036,Sri Adhikari Brothers Television Network Limited
ENERGYDEV,INE306C01019,Energy Development Company Limited
BAJAJELEC,INE193E01025,Bajaj Electricals Limited
CERA,INE739E01017,Cera Sanitaryware Limited
DELTACORP,INE124G01033,Delta Corp Limited
IL&FSENGG,INE369I01014,IL&FS Engineering and Construction Company Limited
MAANALU,INE215I01019,Maan Aluminium Limited
MANGCHEFER,INE558B01017,Mangalore Chemicals & Fertilizers Limited
SUPREMEINF,INE550H01011,Supreme Infrastructure India Limited
CCCL,INE429I01024,Consolidated Construction Consortium Limited
POWERGRID,INE752E01010,Power Grid Corporation of India Limited
CENTUM,INE320B01020,Centum Electronics Limited
KSCL,INE455I01029,Kaveri Seed Company Limited
ECEIND,INE588B01014,ECE Industries Limited
MAGNUM,INE387I01016,Magnum Ventures Limited
NAGREEKCAP,INE245I01016,Nagreeka Capital & Infrastructure Limited
INDOWIND,INE227G01018,Indowind Energy Limited
MOTILALOFS,INE338I01027,Motilal Oswal Financial Services Limited
MAHINDCIE,INE536H01010,Mahindra CIE Automotive Limited
PURVA,INE323I01011,Puravankara Limited
SRIPIPES,INE943C01027,Srikalahasthi Pipes Limited
KPRMILL,INE930H01023,K.P.R. Mill Limited
ISMTLTD,INE732F01019,ISMT Limited
TAKE,INE142I01023,Take Solutions Limited
ASIANTILES,INE022I01019,Asian Granito India Limited
CENTRALBK,INE483A01010,Central Bank of India
SELMCL,INE105I01012,SEL Manufacturing Company Limited
VICEROY,INE048C01017,Viceroy Hotels Limited
ELECTHERM,INE822G01016,Electrotherm (India) Limited
OMAXE,INE800H01010,Omaxe Limited
ALPA,INE385I01010,Alpa Laboratories Limited
VIPCLOTHNG,INE450G01024,VIP Clothing Limited
DECCANCE,INE583C01021,Deccan Cements Limited
WSI,INE100D01014,W S Industries (I) Limited
ALCHEM,INE964B01033,Alchemist Limited
ADSL,INE102I01027,Allied Digital Services Limited
HDIL,INE191I01012,Housing Development and Infrastructure Limited
MEGASOFT,INE933B01012,Megasoft Limited
SPARC,INE232I01014,Sun Pharma Advanced Research Company Limited
CELESTIAL,INE221I01017,Celestial Biolabs Limited
TARMAT,INE924H01018,Tarmat Limited
DLF,INE271C01023,DLF Limited
V2RETAIL,INE945H01013,V2 Retail Limited
MEGH,INE974H01013,Meghmani Organics Limited
NELCAST,INE189I01024,Nelcast Limited
ADVANIHOTR,INE199C01026,Advani Hotels & Resorts (India) Limited
HGS,INE170I01016,Hinduja Global Solutions Limited
NAGREEKEXP,INE123B01028,Nagreeka Exports Limited
TIMETECHNO,INE508G01029,Time Technoplast Limited
GOACARBON,INE426D01013,Goa Carbon Limited
NITINFIRE,INE489H01020,Nitin Fire Protection Industries Limited
GUJAPOLLO,INE826C01016,Gujarat Apollo Industries Limited
NAVINFLUOR,INE048G01026,Navin Fluorine International Limited
KMSUGAR,INE157H01023,K.M.Sugar Mills Limited
MIC,INE287C01029,MIC Electronics Limited
MCDHOLDING,INE836H01014,McDowell Holdings Limited
INSECTICID,INE070I01018,Insecticides (India) Limited
HILTON,INE788H01017,Hilton Metal Forging Limited
SGFL,INE883G01018,Shree Ganesh Forgings Limited
TGBHOTELS,INE797H01018,TGB Banquets And Hotels Limited
WEBELSOLAR,INE855C01015,Websol Energy System Limited
ALPHAGEO,INE137C01018,Alphageo (India) Limited
FORTIS,INE061F01013,Fortis Healthcare Limited
SRHHYPOLTD,INE917H01012,Sree Rayalaseema Hi-Strength Hypo Limited
KGL,INE299C01024,Karuturi Global Limited
GLOBOFFS,INE446C01013,Global Offshore Services Limited
BFUTILITIE,INE243D01012,BF Utilities Limited
ZENITHBIR,INE318D01020,Zenith Birla (India) Limited
AROGRANITE,INE210C01013,Aro Granite Industries Limited
HINDUJAVEN,INE353A01023,Hinduja Ventures Limited
PHOENIXLTD,INE211B01039,The Phoenix Mills Limited
DISHTV,INE836F01026,Dish TV India Limited
ICRA,INE725G01011,ICRA Limited
BANSWRAS,INE629D01012,Banswara Syntex Limited
BALAMINES,INE050E01027,Balaji Amines Limited
NCLIND,INE732C01016,NCL Industries Limited
GARFIBRES,INE276A01018,Garware Technical Fibres Limited
JMTAUTOLTD,INE988E01036,JMT Auto Limited
THEMISMED,INE083B01016,Themis Medicare Limited
NAHARSPING,INE290A01027,Nahar Spinning Mills Limited
NAHARPOLY,INE308A01027,Nahar Poly Films Limited
IBREALEST,INE069I01010,Indiabulls Real Estate Limited
ASTRAL,INE006I01046,Astral Poly Technik Limited
AMDIND,INE005I01014,AMD Industries Limited
JKTYRE,INE573A01042,JK Tyre & Industries Limited
PAGEIND,INE761H01022,Page Industries Limited
LAOPALA,INE059D01020,La Opala RG Limited
RAJTV,INE952H01027,Raj Television Network Limited
ELAND,INE311H01018,E-Land Apparel Limited
EUROCERA,INE649H01011,Euro Ceramics Limited
IDEA,INE669E01016,Vodafone Idea Limited
PUNJABCHEM,INE277B01014,Punjab Chemicals & Crop Protection Limited
UNIPLY,INE950G01023,Uniply Industries Limited
MINDTREE,INE018I01017,MindTree Limited
ORIENTALTL,INE998H01012,Oriental Trimex Limited
GANESHHOUC,INE460C01014,Ganesh Housing Corporation Limited
HSCL,INE019C01026,Himadri Speciality Chemical Limited
INDIANB,INE562A01011,Indian Bank
SMSPHARMA,INE812G01025,SMS Pharmaceuticals Limited
TFL,INE804H01012,Transwarranty Finance Limited
CANDC,INE874H01015,C & C Constructions Limited
PFC,INE134E01011,Power Finance Corporation Limited
TTL,INE592B01016,T T Limited
FSL,INE684F01012,Firstsource Solutions Limited
PGIL,INE940H01014,Pearl Global Industries Limited
REDINGTON,INE891D01026,Redington (India) Limited
ORIENTBELL,INE607D01018,Orient Bell Limited
TVSSRICHAK,INE421C01016,TVS Srichakra Limited
TIIL,INE545H01011,Technocraft Industries (India) Limited
ANGIND,INE017D01010,ANG Industries Limited
TV18BRDCST,INE886H01027,TV18 Broadcast Limited
CTE,INE627H01017,Cambridge Technology Enterprises Limited
HUBTOWN,INE703H01016,Hubtown Limited
TIMKEN,INE325A01013,Timken India Limited
IZMO,INE848A01014,IZMO Limited
NETWORK18,INE870H01013,Network18 Media & Investments Limited
MINDAIND,INE405E01023,Minda Industries Limited
PITTIENG,INE450D01021,Pitti Engineering Limited
AUTOIND,INE718H01014,Autoline Industries Limited
GANDHITUBE,INE524B01027,Gandhi Special Tubes Limited
SIYSIL,INE076B01028,Siyaram Silk Mills Limited
SAGCEM,INE229C01013,Sagar Cements Limited
PTL,INE034D01031,PTL Enterprises Limited
IGPL,INE204A01010,IG Petrochemicals Limited
WANBURY,INE107F01022,Wanbury Limited
SANGHVIMOV,INE989A01024,Sanghvi Movers Limited
SARLAPOLY,INE453D01025,Sarla Performance Fibers Limited
LUMAXTECH,INE872H01027,Lumax Auto Technologies Limited
TIDEWATER,INE484C01022,Tide Water Oil Company (India) Limited
SITINET,INE965H01011,Siti Networks Limited
AVTNPL,INE488D01021,AVT Natural Products Limited
ZEEMEDIA,INE966H01019,Zee Media Corporation Limited
TANLA,INE483C01032,Tanla Solutions Limited
HBLPOWER,INE292B01021,HBL Power Systems Limited
PARACABLES,INE074B01023,Paramount Communications Limited
PRAENG,INE505C01016,Prajay Engineers Syndicate Limited
KESARENT,INE133B01019,Kesar Enterprises Limited
NFL,INE870D01012,National Fertilizers Limited
PLASTIBLEN,INE083C01022,Plastiblends India Limited
ESSDEE,INE825H01017,Ess Dee Aluminium Limited
XLENERGY,INE183H01011,XL Energy Limited
SATHAISPAT,INE176C01016,Sathavahana Ispat Limited
CREST,INE559D01011,Crest Ventures Limited
HIRECT,INE835D01023,Hind Rectifiers Limited
ARIHANT,INE413D01011,Arihant Foundations & Housing Limited
JINDRILL,INE742C01031,Jindal Drilling And Industries Limited
BANCOINDIA,INE213C01025,Banco Products (I) Limited
MMFL,INE227C01017,MM Forgings Limited
VENUSREM,INE411B01019,Venus Remedies Limited
SPENTEX,INE376C01020,Spentex Industries Limited
SOBHA,INE671H01015,Sobha Limited
RUCHIRA,INE803H01014,Ruchira Papers Limited
DONEAR,INE668D01028,Donear Industries Limited
DAAWAT,INE818H01020,LT Foods Limited
SUTLEJTEX,INE645H01027,Sutlej Textiles and Industries Limited
MANALIPETC,INE201A01024,Manali Petrochemicals Limited
PARSVNATH,INE561H01026,Parsvnath Developers Limited
TORNTPOWER,INE813H01021,Torrent Power Limited
GESHIP,INE017A01032,The Great Eastern Shipping Company Limited
BBL,INE464A01028,Bharat Bijlee Limited
NAUKRI,INE663F01024,Info Edge (India) Limited
SHIVAMAUTO,INE637H01024,Shivam Autotech Limited
AARVEEDEN,INE273D01019,Aarvee Denims & Exports Limited
HINDZINC,INE267A01025,Hindustan Zinc Limited
GTLINFRA,INE221H01019,GTL Infrastructure Limited
SHYAMTEL,INE635A01023,Shyam Telecom Limited
INSPIRISYS,INE020G01017,Inspirisys Solutions Limited
GLOBALVECT,INE792H01019,Global Vectra Helicorp Limited
DCBBANK,INE503A01015,DCB Bank Limited
JHS,INE544H01014,JHS Svendgaard Laboratories Limited
FIEMIND,INE737H01014,Fiem Industries Limited
GATI,INE152B01027,GATI Limited
JMFINANCIL,INE780C01023,JM Financial Limited
MBECL,INE748A01016,Mcnally Bharat Engineering Company Limited
DOLPHINOFF,INE920A01011,Dolphin Offshore Enterprises (India) Limited
ANSALHSG,INE880B01015,Ansal Housing Limited
MADHUCON,INE378D01032,Madhucon Projects Limited
KSERASERA,INE216D01026,KSS Limited
GEECEE,INE916G01016,GeeCee Ventures Limited
TALBROAUTO,INE187D01011,Talbros Automotive Components Limited
ASSAMCO,INE442A01024,Assam Company India Limited
ELECON,INE205B01023,Elecon Engineering Company Limited
ALICON,INE062D01024,Alicon Castalloy Limited
ANANTRAJ,INE242C01024,Anant Raj Limited
HOVS,INE596H01014,HOV Services Limited
BINANIIND,INE071A01013,Binani Industries Limited
ACE,INE731H01025,Action Construction Equipment Limited
SELAN,INE818A01017,Selan Exploration Technology Limited
ATLANTA,INE285H01022,Atlanta  Limited
VOLTAMP,INE540H01012,Voltamp Transformers Limited
RAMANEWS,INE278B01020,Shree Rama Newsprint Limited
DYNAMATECH,INE221B01012,Dynamatic Technologies Limited
MANUGRAPH,INE867A01022,Manugraph India Limited
GRINDWELL,INE536A01023,Grindwell Norton Limited
TECHM,INE669C01036,Tech Mahindra Limited
GMRINFRA,INE776C01039,GMR Infrastructure Limited
WENDT,INE274C01019,Wendt (India) Limited
EMAMILTD,INE548C01032,Emami Limited
MUNJALAU,INE672B01032,Munjal Auto Industries Limited
ALLCARGO,INE418H01029,Allcargo Logistics Limited
PFOCUS,INE367G01038,Prime Focus Limited
JKLAKSHMI,INE786A01032,JK Lakshmi Cement Limited
GTNTEX,INE302H01017,GTN Textiles Limited
PIONEEREMB,INE156C01018,Pioneer Embroideries Limited
RATNAMANI,INE703B01027,Ratnamani Metals & Tubes Limited
KAMDHENU,INE390H01012,Kamdhenu Limited
SWELECTES,INE409B01013,Swelect Energy Systems Limited
BALPHARMA,INE083D01012,Bal Pharma Limited
LOKESHMACH,INE397H01017,Lokesh Machines Limited
EMKAY,INE296H01011,Emkay Global Financial Services Limited
RSYSTEMS,INE411H01032,R Systems International Limited
GPIL,INE177H01013,Godawari Power And Ispat limited
SUNTV,INE424H01027,Sun TV Network Limited
ZICOM,INE871B01014,Zicom Electronic Security Systems Limited
ROHITFERRO,INE248H01012,Rohit Ferro-Tech Limited
KKCL,INE401H01017,Kewal Kiran Clothing Limited
SGL,INE353H01010,STL Global Limited
UTTAMSUGAR,INE786F01031,Uttam Sugar Mills Limited
MALUPAPER,INE383H01017,Malu Paper Mills Limited
ADHUNIK,INE400H01019,Adhunik Metaliks Limited
GALLANTT,INE297H01019,Gallantt Metal Limited
SOLARINDS,INE343H01029,Solar Industries India Limited
VAKRANGEE,INE051B01021,Vakrangee Limited
SANWARIA,INE890C01046,Sanwaria Consumer Limited
KEI,INE878B01027,KEI Industries Limited
CENTURYPLY,INE348B01021,Century Plyboards (India) Limited
NITCO,INE858F01012,Nitco Limited
BLKASHYAP,INE350H01032,B. L. Kashyap and Sons Limited
M&MFIN,INE774D01024,Mahindra & Mahindra Financial Services Limited
VISASTEEL,INE286H01012,Visa Steel Limited
INDOTECH,INE332H01014,Indo Tech Transformers Limited
JKCEMENT,INE823G01014,JK Cement Limited
KEC,INE389H01022,KEC International Limited
SAKUMA,INE190H01024,Sakuma Exports Limited
RCOM,INE330H01018,Reliance Communications Limited
SUNILHITEC,INE305H01028,Sunil Hitech Engineers Limited
SADBHAV,INE226H01026,Sadbhav Engineering Limited
GVKPIL,INE251H01024,GVK Power & Infrastructure Limited
INOXLEISUR,INE312H01016,INOX Leisure Limited
JAGRAN,INE199G01027,Jagran Prakashan Limited
GSPL,INE246F01010,Gujarat State Petronet Limited
ENIL,INE265F01028,Entertainment Network (India) Limited
ROHLTD,INE283H01019,Royal Orchid Hotels Limited
NITINSPIN,INE229H01012,Nitin Spinners Limited
STERTOOLS,INE334A01023,Sterling Tools Limited
TINPLATE,INE422C01014,The Tinplate Company of India Limited
BALKRISIND,INE787D01026,Balkrishna Industries Limited
ANSALAPI,INE436A01026,Ansal Properties & Infrastructure Limited
CELEBRITY,INE185H01016,Celebrity Fashions Limited
BARTRONICS,INE855F01034,Bartronics India Limited
PUNJLLOYD,INE701B01021,Punj Lloyd Limited
PVR,INE191H01014,PVR Limited
REPRO,INE461B01014,Repro India Limited
KERNEX,INE202H01019,Kernex Microsystems (India) Limited
NAHARINDUS,INE289A01011,Nahar Industrial Enterprises Limited
EMCO,INE078A01026,Emco Limited
EKC,INE184H01027,Everest Kanto Cylinder Limited
ORIENTABRA,INE569C01020,Orient Abrasives Limited
VIMTALABS,INE579C01029,Vimta Labs Limited
AIAENG,INE212H01026,AIA Engineering Limited
TRIVENI,INE256C01024,Triveni Engineering & Industries Limited
SORILINFRA,INE034H01016,SORIL Infra Resources Limited
BRFL,INE589G01011,Bombay Rayon Fashions Limited
PBAINFRA,INE160H01019,PBA Infrastructure Limited
BASML,INE186H01014,Bannari Amman Spinning Mills Limited
RENUKA,INE087H01022,Shree Renuka Sugars Limited
AURIONPRO,INE132H01018,Aurionpro Solutions Limited
SUZLON,INE040H01021,Suzlon Energy Limited
IMPAL,INE547E01014,India Motor Parts and Accessories Limited
SUNFLAG,INE947A01014,Sunflag Iron And Steel Company Limited
FCSSOFT,INE512B01022,FCS Software Solutions Limited
RAJVIR,INE011H01014,Rajvir Industries Limited
ICIL,INE483B01026,Indo Count Industries Limited
SASKEN,INE231F01020,Sasken Technologies Limited
HTMEDIA,INE501G01024,HT Media Limited
RML,INE050H01012,Rane (Madras) Limited
GOLDIAM,INE025B01017,Goldiam International Limited
PRECOT,INE283A01014,Precot Meridian Limited
VIVIMEDLAB,INE526G01021,Vivimed Labs Limited
IDFC,INE043D01016,IDFC Limited
REVATHI,INE617A01013,Revathi Equipment Limited
MCLEODRUSS,INE942G01012,Mcleod Russel India Limited
SPLIL,INE978G01016,SPL Industries Limited
NECLIFE,INE023H01027,Nectar Lifesciences Limited
MSPL,INE752G01015,MSP Steel & Power Limited
SUBROS,INE287B01021,Subros Limited
YESBANK,INE528G01027,Yes Bank Limited
GENUSPOWER,INE955D01029,Genus Power Infrastructures Limited
GEOJITFSL,INE007B01023,Geojit Financial Services Limited
INDIAGLYCO,INE560A01015,India Glycols Limited
VHL,INE701A01023,Vardhman Holdings Limited
CASTEXTECH,INE068D01021,Castex Technologies Limited
MANINDS,INE993A01026,Man Industries (India) Limited
JSWHL,INE824G01012,JSW Holdings Limited
MERCATOR,INE934B01028,Mercator Limited
GRANULES,INE101D01020,Granules India Limited
63MOONS,INE111B01023,63 moons technologies limited
PRIMESECU,INE032B01021,Prime Securities Limited
JKPAPER,INE789E01012,JK Paper Limited
SHAHALLOYS,INE640C01011,Shah Alloys Limited
SURYALAXMI,INE713B01026,Suryalakshmi Cotton Mills Limited
CYBERMEDIA,INE278G01037,Cyber Media (India) Limited
SSWL,INE802C01017,Steel Strips Wheels Limited
WELCORP,INE191B01025,Welspun Corp Limited
SHOPERSTOP,INE498B01024,Shoppers Stop Limited
MANGALAM,INE584F01014,Mangalam Drugs And Organics Limited
IIFL,INE530B01024,IIFL Holdings Limited
SAKSOFT,INE667G01015,Saksoft Limited
ALLSEC,INE835G01018,Allsec Technologies Limited
GOKEX,INE887G01027,Gokaldas Exports Limited
EVEREADY,INE128A01029,Eveready Industries India Limited
3IINFOTECH,INE748C01020,3i Infotech Limited
GABRIEL,INE524A01029,Gabriel India Limited
JPPOWER,INE351F01018,Jaiprakash Power Ventures Limited
JINDALPHOT,INE796G01012,Jindal Photo Limited
SHRIRAMCIT,INE722A01011,Shriram City Union Finance Limited
GDL,INE852F01015,Gateway Distriparks Limited
CONSOFINVT,INE025A01027,Consolidated Finvest & Holdings Limited
JSWSTEEL,INE019A01038,JSW Steel Limited
BEPL,INE922A01025,Bhansali Engineering Polymers Limited
JETAIRWAYS,INE802G01018,Jet Airways (India) Limited
XCHANGING,INE692G01013,Xchanging Solutions Limited
VIPIND,INE054A01027,VIP Industries Limited
RANASUG,INE625B01014,Rana Sugars Limited
PATELENG,INE244B01030,Patel Engineering Limited
SUPRAJIT,INE399C01030,Suprajit Engineering Limited
IMPEXFERRO,INE691G01015,Impex Ferro Tech Limited
INDOCO,INE873D01024,Indoco Remedies Limited
MRPL,INE103A01014,Mangalore Refinery and Petrochemicals Limited
PRESSMN,INE980A01023,Pressman Advertising Limited
DWARKESH,INE366A01041,Dwarikesh Sugar Industries Limited
JBMA,INE927D01028,JBM Auto Limited
KOTARISUG,INE419A01022,Kothari Sugars And Chemicals Limited
SALSTEEL,INE658G01014,S.A.L. Steel Limited
NTPC,INE733E01010,NTPC Limited
WELENT,INE625G01013,Welspun Enterprises Limited
ASTRAMICRO,INE386C01029,Astra Microwave Products Limited
GUFICBIO,INE742B01025,Gufic Biosciences Limited
INDSWFTLTD,INE788B01028,Ind-Swift Limited
PAPERPROD,INE275B01026,Huhtamaki PPL Limited
GULFPETRO,INE586G01017,GP Petroleums Limited
TITAN,INE280A01028,Titan Company Limited
GRUH,INE580B01029,Gruh Finance Limited
TEXINFRA,INE435C01024,Texmaco Infrastructure & Holdings Limited
GREAVESCOT,INE224A01026,Greaves Cotton Limited
EICHERMOT,INE066A01013,Eicher Motors Limited
NIITTECH,INE591G01017,NIIT Technologies Limited
TCS,INE467B01029,Tata Consultancy Services Limited
MAHSEAMLES,INE271B01025,Maharashtra Seamless Limited
ULTRACEMCO,INE481G01011,UltraTech Cement Limited
